"","country_name","year","elec_access","agri_forest_fish","agri_land","arable_land","armed_forces_perc","armed_forces_total","birth_rate","educ_expend","tourism","mortality","pop","health_expend","gdp_usd","income","gdp_perc"
"91","Mexico",2022,100,3.90515905212095,49.9843460942869,10.2338367014452,0.586910885048724,338551.53998525,14.636,4.25796766525326,-1.1742e+10,11,127504125,6.10520976356992,1463323889036.56,937028280847.981,3.29761793855816
"92","Korea, Rep.",2010,100,2.1440163216522,18.2407407407407,15.5041152263374,2.59443926102974,659500,9.4,3.52756690979004,2.0788e+10,3.5,49554112,5.81980991,1143672241149.72,938427610118.629,6.27401988865388
"93","Korea, Rep.",2011,100,2.20919995518876,18.068731350962,15.3102171005247,2.54919235826732,659500,9.4,3.71290149688721,2.2195e+10,3.4,49936638,5.91454506,1253289537500.81,1027604773984.11,2.89141199434026
"94","Korea, Rep.",2012,100,2.1861850409628,18.3742678039256,15.6427910800534,2.51052803922926,659500,9.6,3.89823608398438,2.2934e+10,3.3,50199853,6.0325017,1278046536287.01,1048427115416.14,1.86559949596563
"95","Korea, Rep.",2013,100,2.09904711367279,18.154291462238,15.3531911399421,2.47611831753111,659500,8.6,4.08357067108154,2.4459e+10,3.2,50428893,6.15069818,1370632955321.2,1120204286026.97,2.69615096128955
"96","Korea, Rep.",2014,100,2.05667705037638,17.9441650415683,15.1493379862465,2.30943745316771,632500,8.6,4.26890525817871,2.6136e+10,3.1,50746659,6.40432453,1484488526271.8,1210603341380.1,2.55621950883497
"97","Korea, Rep.",2015,100,2.00390779269061,17.815177792601,15.0289907127097,2.28334493298949,634500,8.6,4.45423984527588,2.7957e+10,3,51014947,6.58926058,1466038936206.43,1196351007080.23,2.26842940068582
"98","Korea, Rep.",2016,100,1.85903488299151,17.4460708387613,14.5760034465427,2.26090638595862,634000,7.9,4.33309984207153,2.9817e+10,2.9,51217803,6.87049913,1499679823909.61,1227205660047.13,2.5391447288435
"99","Korea, Rep.",2017,100,1.8507562953431,17.1951594708235,14.323659111886,2.23635578699212,634000,7,4.32823991775513,3.4453e+10,2.8,51361911,7.04742336,1623074183501.9,1329782799420.9,2.87019696151147
"100","Korea, Rep.",2018,100,1.74640339447114,16.9401148482363,14.0894175553733,2.13229374661021,608000,6.4,4.45807981491089,3.8022e+10,2.8,51585058,7.49119806,1725373496825.43,1405043017491.22,2.46224621613314
"101","Korea, Rep.",2019,100,1.66793097899135,16.7725409836066,13.9754098360656,2.12781961699039,613000,5.9,4.68465995788574,3.5339e+10,2.7,51764822,8.17479515,1651422932447.77,1337160677844.25,1.8889146004307
"102","Korea, Rep.",2020,100,1.76572048133322,16.608606557377,13.8524590163934,1.98970813849026,569000,5.3,4.8017201423645,1.6705e+10,2.6,51836239,8.3497715,1644312831906.17,1319310926924.01,-0.846212237799236
"103","Korea, Rep.",2021,100,1.85566425511796,16.4241803278689,13.7602459016393,1.94078171664321,567710.28667622,5.1,4.86627006530762,-1.929e+09,2.5,51769539,9.33145523,1818432106880.04,1452592702572.57,4.43912129317819
"104","Korea, Rep.",2022,100,1.64164716763395,16.2439504069652,13.6337394191854,1.87346986014805,552176.282982872,4.9,4.95551686824663,-2.0563e+10,2.4,51672569,9.72047997,1673916511799.71,1472315652501.72,2.80523762871836
"105","Kenya",2010,19.2,17.5677598863696,47.984678637945,9.66370313103982,0.16779639198574,29120,35.422,4.81548976898193,NA,36.9,41517895,5.38849831,45405615063.7551,33602347934.9694,5.05639090011911
"106","Kenya",2011,36.2,18.8947112249953,48.5311171240819,10.1908142109147,0.162329648004057,29100,34.24,4.70012998580933,NA,36.4,42635144,5.20212841,46869473150.61,35405122400.725,2.36641973489743
"107","Kenya",2012,38.1,18.8297259329446,48.550444530344,10.1908142109147,0.157213150021,29100,33.174,4.93121004104614,NA,36.5,43725806,5.0180583,56396704671.5777,42444026300.4405,1.96040098727816
"108","Kenya",2013,40.1,18.6165515854622,48.5697719366061,10.1908142109147,0.15229534998335,29100,32.127,4.83721017837524,NA,36,44792368,4.93100405,61671440407.8387,45843438028.3098,1.32629250659764
"109","Kenya",2014,36,18.3478393393556,48.5890993428682,10.1908142109147,0.147578405719104,29100,31.298,4.7172999382019,NA,35.2,45831863,4.91267347,68285796514.2896,50508231487.6127,2.63818992950348
"110","Kenya",2015,41.6,19.4696147780528,48.6101837860632,10.1908142109147,0.143077300682995,29100,30.957,4.9494514465332,NA,34.1,46851488,4.76439571,70120446896.8359,52755240541.7926,2.68331742509996
"111","Kenya",2016,53.1,20.0345164328349,48.6295111923253,10.1908142109147,0.138643820451965,29100,30.401,4.66556310653687,NA,33.6,47894670,4.75429106,74815144163.8931,62816973523.6982,1.94366814420279
"112","Kenya",2017,55.8,20.8936374065292,48.6488385985873,10.1908142109147,0.134358684685927,29000,29.755,4.26874256134033,NA,33.4,48948137,3.98597503,82036510877.2599,68347108989.9325,1.60314661619574
"113","Kenya",2018,61.2,20.314910419968,48.6681660048494,10.1908142109147,0.131256580589263,29100,29.18,5.32192516326904,NA,32.8,49953304,4.09903383,92202979985.2863,77713133606.492,3.52208443515578
"114","Kenya",2019,69.7,20.8611638110686,48.6874934111115,10.1908142109147,0.127407877075474,29000,28.46,5.37359189987183,NA,32.2,50951450,4.36874676,100378436207.371,85831083413.107,3.05495784951917
"115","Kenya",2020,71.5,22.7027261604451,48.6874934111115,10.1908142109147,0.103374242972113,24000,27.998,5.04574871063232,NA,31.8,51985780,4.47622252,100657505750.545,85842420676.3748,-2.25697950274444
"116","Kenya",2021,76.5,21.4770750957252,48.6874934111115,10.1908142109147,0.079340608868752,19000,27.685,4.89040184020996,NA,31,53005614,4.54763126,109703658904.994,95240841982.8691,5.52043630422037
