Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.2,94.8,96,96.5,97,97.5,97.6,98.1,98.5,98.9,97,99.2,100
Indonesia,IDN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,13.929212707137,13.5122870743946,13.3739742350727,13.3566991621949,13.3367549992146,13.4926435578886,13.4787485470271,13.1566308462661,12.8084975586902,12.7126026577522,13.6984142796138,13.2801691376596,12.3998843807634
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4963726066154,30.0449689190895,30.0609474524625,30.3432348753861,30.5189987424894,30.7853076320399,31.7972814123319,33.7147054170956,34.0342760845563,34.1407996403765,34.2473231961967,34.1337419293713,..
Indonesia,IDN,Arable land (% of land area),AG.LND.ARBL.ZS,12.4526036753822,12.4685822087553,12.4845607421283,12.5005392755013,12.5165178088744,12.6763031426047,13.4219680333461,14.0078475903573,14.0078475903573,14.0078475903573,14.0078475903573,13.8965543768183,..
Indonesia,IDN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.496656880506496,0.565728465589861,0.552959818580137,0.55016473184479,0.543469463262248,0.535508362448644,0.530470621205913,0.520961185409261,0.506647952418864,0.49632188771008,0.496668496870485,..,..
Indonesia,IDN,"Armed forces personnel, total",MS.MIL.TOTL.P1,582000,676500,676500,676500,676500,675500,675500,676000,675500,676000,676000,..,..
Indonesia,IDN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.158,20.345,20.093,19.417,18.954,18.448,18.017,17.519,17.179,16.91,16.649,16.425,16.196
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.81227993965149,3.18944001197815,3.40748000144958,3.35904002189636,3.28800988197327,3.58360004425049,1.21023452281952,1.05324387550354,0.99443644285202,0.964399099349976,1.01593220233917,1.03221750259399,0.863943338394165
Indonesia,IDN,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,8432000000,8653000000,9055000000,10280000000,10263000000,9800000000,9932000000,10945000000,13171000000,14449000000,1980000000,..,..
Indonesia,IDN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.8,26.8,25.8,24.9,24,23.1,22.3,21.5,20.7,20,19.4,18.7,18.1
Indonesia,IDN,"Population, total",SP.POP.TOTL,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
Indonesia,IDN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.7908783,2.98942471,2.91427088,2.86934805,2.96433568,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70636249,..
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,755094157621.936,892969104563.171,917869913332.649,912524136718.018,890814755533.537,860854232686.214,931877364037.698,1015618744159.73,1042271532988.63,1119099871350.2,1059054842698.48,1186509691086.73,1319076267310.16
Indonesia,IDN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,566234391128.885,659868014153.763,689395586501.512,688615753233.48,671349773485.428,663588563945.298,736332319283.818,785282040778.049,789841225160.877,839487253839.715,806178618150.759,882648696180.561,..
Indonesia,IDN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.90272857873705,4.84490570055715,4.70670292023203,4.28477845676873,3.79614076779593,3.71774546908827,3.92669809073649,4.0176256075747,4.16298429125608,4.03913565656795,-2.88509409342301,2.9849400734317,4.6392086044409
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.3,79.5,79.9,83.1,85.1,88,89.6,91.8,95.7,95.9,96.5,99.6,99.2
